trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
200,False,"{'a': 0.9960079495031375, 'e': 0.1353352832366127}",25,10,17.366340960891506,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.9959880293441474, 'e': 0.13398867466880493}",20,9,7.125648782609146,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.9959681095835605, 'e': 0.13265546508012172}",20,7,-40.578708324305325,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
203,False,"{'a': 0.9959481902213688, 'e': 0.13133552114849303}",20,10,5.813218774479848,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.9959282712575643, 'e': 0.1300287108784259}",20,0,21.282449695618133,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
205,False,"{'a': 0.9959083526921392, 'e': 0.12873490358780423}",20,14,11.211284784761142,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.9958884345250854, 'e': 0.12745396989482075}",35,21,21.415405256341472,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.9958685167563949, 'e': 0.12618578170503877}",20,9,20.822636900157566,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.9958485993860596, 'e': 0.12493021219858241}",25,0,23.70098016128481,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
209,False,"{'a': 0.995828682414072, 'e': 0.12368713581745483}",25,14,18.066313936806637,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.9958087658404237, 'e': 0.1224564282529819}",20,6,16.604354455198052,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.9957888496651068, 'e': 0.12123796643338168}",20,9,-22.26226992819183,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
212,False,"{'a': 0.9957689338881135, 'e': 0.12003162851145673}",20,14,12.783891072338086,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.9957490185094356, 'e': 0.11883729385240965}",30,15,26.70260337892021,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.9957291035290655, 'e': 0.11765484302177918}",25,0,14.078782980743357,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
215,False,"{'a': 0.9957091889469949, 'e': 0.11648415777349697}",30,9,-15.790653604775018,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 1}",1
216,False,"{'a': 0.9956892747632159, 'e': 0.11532512103806251}",20,10,8.538247042130882,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.9956693609777206, 'e': 0.1141776169108365}",20,0,31.619202314398255,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
218,False,"{'a': 0.9956494475905011, 'e': 0.11304153064044985}",20,13,10.66541906762493,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.9956295346015492, 'e': 0.11191674861732888}",25,4,-5.936861340483916,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
220,False,"{'a': 0.9956096220108572, 'e': 0.11080315836233387}",25,17,14.46567701796792,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.995589709818417, 'e': 0.10970064851551141}",25,6,26.980380286009773,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.9955697980242205, 'e': 0.10860910882495796}",25,3,24.860279727304793,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.99554988662826, 'e': 0.10752843013579495}",30,19,5.555835687338068,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.9955299756305275, 'e': 0.1064585043792528}",25,8,12.167108820105874,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.9955100650310148, 'e': 0.10539922456186433}",20,0,21.469041090347147,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
226,False,"{'a': 0.9954901548297141, 'e': 0.104350484754765}",20,0,29.29221463664758,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
227,False,"{'a': 0.9954702450266176, 'e': 0.1033121800831002}",20,6,10.705459376041052,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.995450335621717, 'e': 0.10228420671553744}",30,22,11.206762170770062,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.9954304266150046, 'e': 0.1012664618538834}",25,10,10.92846186906172,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.9954105180064723, 'e': 0.1002588437228037}",30,17,24.233861417049454,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.9953906097961122, 'e': 0.09926125155964566}",30,19,21.55589152418207,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.9953707019839162, 'e': 0.09827358560436154}",25,9,-14.11535345393093,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
233,False,"{'a': 0.9953507945698765, 'e': 0.09729574708953276}",25,11,26.19665000811811,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.995330887553985, 'e': 0.09632763823049303}",30,14,27.781197338294028,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.9953109809362339, 'e': 0.09536916221554961}",25,14,12.708904229121467,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.9952910747166153, 'e': 0.09442022319630235}",20,13,6.555161890674741,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.9952711688951209, 'e': 0.09348072627805847}",25,17,17.134421365508313,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.995251263471743, 'e': 0.09255057751034329}",30,16,24.082516493145356,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.9952313584464735, 'e': 0.09162968387750484}",20,2,-14.583074207312785,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
240,False,"{'a': 0.9952114538193045, 'e': 0.09071795328941251}",20,6,24.9522654211393,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
