trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
142,False,"{'a': 0.9971640006651532, 'e': 0.24171401689703645}",25,7,13.068306397237471,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.9971440573851399, 'e': 0.23930892224375455}",25,11,23.813024373228778,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.9971241145039922, 'e': 0.23692775868212176}",20,0,-11.95633362347606,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
145,False,"{'a': 0.9971041720217021, 'e': 0.23457028809379765}",25,0,13.405821023259495,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
146,False,"{'a': 0.9970842299382616, 'e': 0.23223627472975883}",20,10,7.16981025034881,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.9970642882536629, 'e': 0.22992548518672384}",25,18,10.083336094521144,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.9970443469678978, 'e': 0.22763768838381274}",20,10,0.428215666588732,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.9970244060809584, 'e': 0.22537265553943872}",30,18,14.418026887668887,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.9970044655928367, 'e': 0.22313016014842982}",20,13,6.124210055461049,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.9969845255035249, 'e': 0.2209099779593782}",20,13,10.186754710162576,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.9969645858130148, 'e': 0.21871188695221475}",25,15,4.986761302448118,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.9969446465212985, 'e': 0.21653566731600707}",20,15,-12.779868079781016,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.996924707628368, 'e': 0.21438110142697794}",20,10,-1.198388054198144,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
